"Name","AppID"
"Disk Cleanup","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe"
"Documentation for Desktop Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\DesktopAppsDocumentation.url"
"Documentation for UWP Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\UWPAppsDocumentation.url"
"Dolby Audio","DolbyLaboratories.DolbyAudio_rz1tebttyb220!App"
"Download Microsoft SQL Server Compact","http://go.microsoft.com/fwlink/?LinkId=204212"
"Easy Installer Creator","Microsoft.AutoGenerated.{647C7468-ED11-E2ED-BB0C-A4719DBC5C0B}"
"Event Viewer","Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}"
"Feedback Hub","Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App"
"ffdshow VFW interface","Microsoft.AutoGenerated.{589CBFCB-CABA-0C98-CB97-3914C3A52894}"
"File Explorer","Microsoft.Windows.Explorer"
"Firefox","308046B0AF4A39CB"
"Firefox Private Browsing","308046B0AF4A39CB;PrivateBrowsingAUMID"
"flipper-server","C:\Users\xxixw\Desktop\myProjects\React Native\VPN Application\FrontEnd\flipper-server.tgz"
"flutter_windows_3.41","C:\Users\xxixw\Downloads\flutter_windows_3.41.2-stable.zip"
"FortiClient VPN","{6D809377-6AF0-444B-8957-A3773F02200E}\Fortinet\FortiClient\FortiClient.exe"
"Get Help","Microsoft.GetHelp_8wekyb3d8bbwe!App"
"Get Started","MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WebExperienceHost"
"Git Bash","Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}"
"Git CMD","Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}"
"Git FAQs (Frequently Asked Questions)","https://github.com/git-for-windows/git/wiki/FAQ"
"Git GUI","{6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe"
"Git Release Notes","{6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html"
"Google Chrome","Chrome"
"GPUView","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Windows Performance Toolkit\gpuview\GPUView.exe"
"Grabber Help","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manager\grabber.chm"
"GraphStudioNext","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K-Lite Codec Pack\Tools\GraphStudioNext.exe"
"GraphStudioNext (x64)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K-Lite Codec Pack\Tools\GraphStudioNext64.exe"
"iCloud","AppleInc.iCloud_nzyj5cx40ttqa!iCloud"
"iCloud Passwords","AppleInc.iCloud_nzyj5cx40ttqa!iCloudPasswords"
"iCloud Shared Albums","AppleInc.iCloud_nzyj5cx40ttqa!iCloudPhotoViewer"
"IDLE (Python 3.10 64-bit)","Microsoft.AutoGenerated.{2C06E164-FAAA-BF2B-AEFF-361DB57742BF}"
"IDM Help","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manager\idman.chm"
"IncrediBuild Agent Settings","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Incredibuild\BuildSettings.exe"
"IncrediBuild Agent Tray-Icon","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Incredibuild\BuildTrayIcon.exe"
"IncrediBuild Coordinator Manager","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Incredibuild\BrowseCoordinatorManager.vbs"
"Incredibuild Online Help","https://docs.incredibuild.com"
"Incredibuild Support","http://support.incredibuild.com"
"Incredibuild.com","https://www.incredibuild.com"
"Install Additional Tools for Node.js","Microsoft.AutoGenerated.{04770C2D-34E6-BE94-EFAD-FA817237D6E9}"
"Intel Driver & Support Assistant","Intel.Dsa.Tray"
"Intel? Graphics Command Center","AppUp.IntelGraphicsExperience_8j3eq9eme6ctt!App"
"Internet Download Manager","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manager\IDMan.exe"
"iSCSI Initiator","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe"
"LAV Audio","Microsoft.AutoGenerated.{B5F3020C-AE42-2F67-B1EF-8F4793B673EB}"
"LAV Audio (MPC-HC internal)","Microsoft.AutoGenerated.{E4EBFA66-BB12-9590-DFF7-9A9E1C5FB5FA}"
"LAV Splitter","Microsoft.AutoGenerated.{44DAE1F7-35B1-AADA-C259-6553772EB1C8}"
"LAV Splitter (MPC-HC internal)","Microsoft.AutoGenerated.{FDDC82FE-16F0-86E4-F299-EC279465CDF5}"
"LAV Video","Microsoft.AutoGenerated.{AD440445-FC03-4501-5813-714EB885DB1A}"
"LAV Video (MPC-HC internal)","Microsoft.AutoGenerated.{4CB851E5-6A42-60E9-DE83-8CEF885AC842}"
"Lenovo Service Bridge","C:\Users\xxixw\AppData\Local\Programs\Lenovo\Lenovo Service Bridge\LSB.exe"
"license","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manager\license.txt"
"Live captions","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe"
"Local Security Policy","Microsoft.AutoGenerated.{BD3F924E-55FB-A1BA-9DE6-B50F9F2460AC}"
"madVR","Microsoft.AutoGenerated.{02309437-10FC-1FDC-D5EE-92B631C5EA40}"
"Magnifier","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe"
"Mail","microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail"
"Manage Remote Computer's SoftEther VPN Client","Microsoft.AutoGenerated.{37C53869-2ADE-1A75-4FF7-8AEC0F00FD11}"
"Maps","Microsoft.WindowsMaps_8wekyb3d8bbwe!App"
"Media Player Classic","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K-Lite Codec Pack\MPC-HC64\mpc-hc64.exe"
"Media Player Classic (x86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K-Lite Codec Pack\MPC-HC\mpc-hc.exe"
"MediaInfo","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K-Lite Codec Pack\Tools\mediainfo.exe"
"Microsoft 365 Copilot","Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub"
"Microsoft Clipchamp","Clipchamp.Clipchamp_yxz26nhyzhsrt!App"
"Microsoft Edge","MSEdge"
"Microsoft Store","Microsoft.WindowsStore_8wekyb3d8bbwe!App"
"Microsoft Teams","MSTeams_8wekyb3d8bbwe!MSTeams"
"Microsoft To Do","Microsoft.Todos_8wekyb3d8bbwe!App"
"MPC Video Renderer","Microsoft.AutoGenerated.{D71298AF-C2F3-5BAA-5338-8F39BC7224AA}"
"Narrator","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe"
"Network Traffic Speed Test Tool","Microsoft.AutoGenerated.{16526EF3-D106-E681-485D-B14084379306}"
"News","Microsoft.BingNews_8wekyb3d8bbwe!AppexNews"
"Node.js","{6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe"
"Node.js command prompt","Microsoft.AutoGenerated.{499EE7CA-7ED5-EBC9-AB09-80DC143D7B90}"
"Node.js documentation","https://nodejs.org/download/release/v22.1.0/docs/api/"
"Node.js website","https://nodejs.org/"
"Notepad","Microsoft.WindowsNotepad_8wekyb3d8bbwe!App"
"ODBC Data Sources (32-bit)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe"
"ODBC Data Sources (64-bit)","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe"
"Official OpenSSL Documentation","https://www.openssl.org/docs/"
"Official OpenSSL Website","https://www.openssl.org/"
"Online Codec Help","http://www.codecguide.com/help.htm"
"On-Screen Keyboard","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe"
"Opera Browser","OperaSoftware.OperaWebBrowser.1771127971"
"Outlook","Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows"
"Owlfiles","SkyjosCo.Ltd.Owlfiles_hys86vbcv0f40!App"
"Paint","Microsoft.Paint_8wekyb3d8bbwe!App"
"Performance Monitor","Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}"
"Phone Link","Microsoft.YourPhone_8wekyb3d8bbwe!App"
"Photos","Microsoft.Windows.Photos_8wekyb3d8bbwe!App"
"PotPlayer 64 bit","{6D809377-6AF0-444B-8957-A3773F02200E}\DAUM\PotPlayer\PotPlayerMini64.exe"
"Power Automate","Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console"
"Print Management","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc"
"Python 3.10 (64-bit)","C:\Users\xxixw\AppData\Local\Programs\Python\Python310\python.exe"
"Python 3.10 Module Docs (64-bit)","Microsoft.AutoGenerated.{83746A9A-8210-A4E9-66CB-268187853552}"
"qBittorrent","{6D809377-6AF0-444B-8957-A3773F02200E}\qBittorrent\qbittorrent.exe"
"Quick Assist","MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App"
"Realtek Audio Console","RealtekSemiconductorCorp.RealtekAudioControl_dt26b99r8h8gj!App"
"Recovery Drive","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe"
"Registry Editor","{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe"
"Remote Desktop Connection","Microsoft.Windows.RemoteDesktop"
"Resource Monitor","Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}"
"Run","Microsoft.Windows.Shell.RunDialog"
"Sample Desktop Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\DesktopAppsSamples.url"
"Sample UWP Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\UWPAppsSamples.url"
"Services","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc"
"Settings","windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel"
"Snipping Tool","Microsoft.ScreenSketch_8wekyb3d8bbwe!App"
"SoftEther VPN Client Manager","{6D809377-6AF0-444B-8957-A3773F02200E}\SoftEther VPN Client\vpncmgr_x64.exe"
"SoftEther VPN Command Line Utility (vpncmd)","{6D809377-6AF0-444B-8957-A3773F02200E}\SoftEther VPN Client\vpncmd_x64.exe"
"Solitaire & Casual Games","Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App"
"SQL Server 2014 Data Profile Viewer","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\DTS\Binn\DataProfileViewer.exe"
"SQL Server 2014 Database Engine Tuning Advisor","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\Tools\Binn\DTASHELL.EXE"
"SQL Server 2014 Deployment Wizard","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\DTS\Binn\ISDeploymentWizard.exe"
"SQL Server 2014 Error and Usage Reporting","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\120\Shared\SqlWtsn.exe"
"SQL Server 2014 Execute Package Utility","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\DTExecUI.exe"
"SQL Server 2014 Import and Export Data (32-bit)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\DTS\Binn\DTSWizard.exe"
"SQL Server 2014 Import and Export Data (64-bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\120\DTS\Binn\DTSWizard.exe"
"SQL Server 2014 Installation Center (64-bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\120\Setup Bootstrap\SQLServer2014\x64\LandingPage.exe"
"SQL Server 2014 Management Studio","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\Ssms.exe"
"SQL Server 2014 Profiler","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\Tools\Binn\PROFILER.EXE"
"SQL Server 2014 Project Conversion Wizard","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\DTS\Binn\ISProjectWizard.exe"
"SQL Server 2014 Reporting Services Configuration Manager","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server\120\Tools\Binn\RSConfigTool.exe"
"SQL Server 2022 Error and Usage Reporting","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\160\Shared\SqlWtsn.exe"
"SQL Server 2022 Import and Export Data (64-bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\160\DTS\Binn\DTSWizard.exe"
"SQL Server 2022 Installation Center (64-bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\160\Setup Bootstrap\SQL2022\x64\LandingPage.exe"
"SQL Server Installation Center (64-bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\100\Setup Bootstrap\Release\x64\LandingPage.exe"
"Steps Recorder","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe"
"Sticky Notes","Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App"
"System Configuration","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe"
"System Information","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe"
"System Update","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Lenovo\System Update\tvsu.exe"
"Tailscale","{6D809377-6AF0-444B-8957-A3773F02200E}\Tailscale\tailscale-ipn.exe"
"Task Manager","Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"
"Task Scheduler","Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}"
"TCP Optimization Utility","Microsoft.AutoGenerated.{23545F45-A07A-3092-D51E-015AD459D9B3}"
"TeamViewer","{6D809377-6AF0-444B-8957-A3773F02200E}\TeamViewer\TeamViewer.exe"
"Telegram","C:\Users\xxixw\AppData\Roaming\Telegram Desktop\Telegram.exe"
"Telegram","Telegram.TelegramDesktop"
"Terminal","Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"
"Test Network Connectivity","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Incredibuild\NetworkTest.exe"
"Tools for Desktop Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\DesktopAppsToolsDocumentation.url"
"Tools for UWP Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\UWPAppsToolsDocumentation.url"
"TUTORIALS","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manager\tutor.chm"
"UltraViewer","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\UltraViewer\UltraViewer_Desktop.exe"
"Uninstall","{6D809377-6AF0-444B-8957-A3773F02200E}\DBeaver\Uninstall.exe"
"Uninstall Node.js","Microsoft.AutoGenerated.{FA38C4A3-3ADE-A911-8EE9-8CEF47335773}"
"Uninstall PotPlayer-64 bit","{6D809377-6AF0-444B-8957-A3773F02200E}\DAUM\PotPlayer\uninstall.exe"
"Update IncrediBuild Installation","Microsoft.AutoGenerated.{4FFA2A4D-9296-AFE5-5F04-FD3C63575887}"
"Visual Studio 2022","VisualStudio.ee393365"
"Visual Studio Code","Microsoft.VisualStudioCode"
"Visual Studio Installer","Microsoft.VisualStudio.Installer"
"Voice access","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe"
"Weather","Microsoft.BingWeather_8wekyb3d8bbwe!App"
"Web Installer Creator","Microsoft.AutoGenerated.{3C1D9347-289D-6E55-BF73-71F729D0C21E}"
"WhatsApp","5319275A.WhatsAppDesktop_cv1g1gvanyjgm!App"
"Win64 OpenSSL Command Prompt","{6D809377-6AF0-444B-8957-A3773F02200E}\OpenSSL-Win64\start.bat"
"Windows App Cert Kit","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\App Certification Kit\appcertui.exe"
"Windows Backup","MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup"
"Windows Defender Firewall with Advanced Security","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc"
"Windows Media Player Legacy","Microsoft.Windows.MediaPlayer32"
"Windows Memory Diagnostic","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe"
"Windows OpenSSL Website","https://slproweb.com/products/Win32OpenSSL.html"
"Windows Performance Analyzer","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Windows Performance Toolkit\wpa.exe"
"Windows Performance Recorder","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Windows Performance Toolkit\WPRUI.exe"
"Windows PowerShell","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell ISE","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows PowerShell ISE (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows Security","Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI"
"Windows Software Development Kit","Microsoft.AutoGenerated.{3B6E7DF3-19A3-70DB-96F6-86E65A17E61C}"
"Windows Tools","Microsoft.Windows.AdministrativeTools"
"Windsurf","Exafunction.Windsurf"
"WizTree","{6D809377-6AF0-444B-8957-A3773F02200E}\WizTree\WizTree64.exe"
"WSL","Microsoft.WSL"
"WSL Settings","{6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsettings.exe"
"x264 VFW (x64)","Microsoft.AutoGenerated.{DE7CC052-B358-C9A0-8A57-0B47C23AF8AC}"
"x264 VFW (x86)","Microsoft.AutoGenerated.{B26CFEB8-B793-75E4-C73E-FF367A9CCF40}"
"x64 Native Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{B67D947A-0D5F-1695-59CA-C3C670847A8D}"
"x64_x86 Cross Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{5213B6E7-66F5-72E2-6A91-813083E63597}"
"x86 Native Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{29C17980-024E-DAF6-5560-D89064444C9F}"
"x86_x64 Cross Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{E8118AE5-0F1B-1761-3DE2-C3719B92E0C3}"
"Xvid VFW","Microsoft.AutoGenerated.{CE968D4E-5D5A-3A3C-3FAA-CC37A457954A}"
